0	3	5	1	2
0	1	2	3
0	4	3	1	6
0	6	10	8
0	2	1	4	5
0	1	3	4
0	2	1	8
1	3	2	9
2	17	7	4
2,1	3	4
2	4	8	7
0	3	1	12
3	2	5	13	1
1	3	5	9
0	3	1	4
0	1	8	6
0	2	3	6
0	4	1	7
0	4	7,8	14
0	1	7	3
0	2	6	14
0	5	3	9
1	2	0	4
0	4	2	6
4	9	6	3
0	22	4	1	3
0	1	2	3
0	2	3	1
0	5	4	10
0	2	12	13
0	1	3	7
0	1	3	6
0	1	7	13
0	1	5	2
0	5	9	11
0	3	1	17
0	3	5	1
1	2	5	7
2	5	3	7
0	1	2	3
0	4	2	1
0	1	7	3
1	4	3	7
5	3	8	6
1	2	5	7
0	1	3	2
0	9	3	4
1	2	6	0
0	8	1	7
0	1	3	10
0	1	2	3
0	1	3	2
0	1	5	3
0	1	7	5
0	1	3	2
1	2	4	5
0	1	3	2
0	5	2	1
0	1	4	2
0	1	6	5
1	7	9	2
0	1	10	15
2	6	4	8
0	5	2	1
0	1	2	4
4	5	3	12
4	5	6	3
0	1	5	6
1	0	4	6
2	3	4	5
1	2	4	6
0	2	12	10
6	1	8	7
0	1	3	6
0	4	5	1
1	7	5
0	1	2	7
1	2	4	6
0	1	2	4
0	2	3	6
0	4	3
0	1	4	5
0	1	3	5
0	1	2	3
2	3	4	6
1	0	3	5
2	5	8,4	4
0	1	10	15,14
1,0	3	5	8
1	2	4	6	0
1	2	6	4
1	2	3	4
0	3	2	15
0	3	5	4
38,1	4	-1	17
0	2	7	8
1	4	3	8
0	4	1	3
3	5	2	4
0	1	2	4
1	2	8	3
1	2	4	5
0	3	1	4
1	4	7	8
0	3	1	4
1	10	7	13
0	1	6	7
4	5	3	8
3	1,2	10	6
0	2	7	4
0	2	3	6,7
1	3	5	0
0	1	7	2	10
0	3	6	5
0	4	1	2
0	1	9	6
1	8	5
1,0	25	23	5
0	1	8	2
0	1	4	3
0	1	2	5
0	1	2	4
0	6	9	2
0	3	4	1
0	1	2	5
0	3	2	7
0	2	1	4
1	2	7	3
0	1	2	4
0	1	21	4
0	1	2	4
0	1	6	2
1	5	4	3
0	4	8	11
0	2	1	3
3	10	18	7
0	1	2	4
1	2	5	10
0	1	3	2	4
1	7	2,6	0
0	4	6	3
2	3	4	6
0	4	8	3
1	2	4
0	9	8	12
0	2	4	5
2	3	1	5
3	2	8	6
0	1	4	8
0	1	6,7	3,2
0	4	1	7
0	5	10	2
1	2	8	6
0	1	9	10
0	1	3	5
1	3	2	0
0	2	4	5
1	2	5	3
0	4	2	1	3
0	2	6	3,4
0	1	4	2
2	8	5	6
0	2	10	3
0	1	6	3
0	1	2	6
0	1	6	3
0	4	5	1
0	1	3	8
0	1	2	3
1	6	0	3	8
1	2	4	14
0	6	5	2,1
0	1	2	3
1,0	3	5
0	5	2	1
0	1	4	3
0	4	2	6
0	1	2	5
5	3	9	4
0	1	3	2
0	1	2	4
0	2	7	4
0	3	4	6
0	1	11	2
2	3	8	5
0	15	9	6
0	3	14	1
0	9	2	4
0	5	8	11
0	11	4,5	16,15
1	2	21	4
0	6	14	4
0	1	2	5
1	2	4	3
0	1	13	9
1	6	4	5
1	5	4	6
2	7	4	10
0	6	13,12	3
0	2	1	3
0	1	3	8
2	8	10	15
0	1	3	5
3	6	12	5
0	5,10	2	18,19
0	3	2	1
0	5	1	4,2
0	6	9	4,3
0	1	5	17
1	2	4	5	3
1	7	4	5
0	1	3	7
0	6,7	1	4
0	1	3	5
0	1	2	7
0	3	2	4
0	2	3	4
0	1	6	8
0	1	3	2
0	2	11	9
1	5	2	9
0	1	2	9
0	4	1	6
0	1	3	2
0	1	2	3
0	4	1	6
1	2	6
0	13	2	17
0	3	2	5
2	5	6	1
0	1	3	8
0	1	3	4
0	3	1	4
0	1	2	5
0	5	4	15
0	1	4	2
1	5	4	3
0	4	5	2
2	3	7	10
0	3	5
1	3	6	10
0	1	2	8
0	2	3	6
0	2	1	9
0	2	3	7
0	4	3	11,10
1	2	6	5
0	2	1	5
0	1	6	7
0	1	4	2
0	1	3	5	2
0	1	2	6	3
0	1	4	2
0	2	3,4	1	6
0	1	3	2
0	3	2	7
0	1	4	2
0	1	6	4
1	3	2	6
1	2	5	3
0	1	4	8
0	4	1	6
0	10	7	11
1	9	2	4
0	1	2	3
1	7	9	2
4	6	15	16
1	5	3	4
0	1	5	2
0	1	2	4
0	1	4	8
0	1	10	7
0	1	2	5
2	5	13	0
2	6	12	32
0	14	23	11
1	2	14,6	3
1	2	7	0
1	2	8	3
1	4	7	2
0	2	6	4
0	1	2	7
0	2	3	1
4	9	10	19
0	1	4	5
1	2	5	8
0	4	3	5
1	2	3
1	6	3	0
0	2	5	7
0	9	5	2
0	2	1	8	10
0	1	4	3
0	1	2	6
3	5	2	4
0	2	6	12
0	1	8	2
1	7	3	4
0	15	11	1
1	3	5	9
0	3	4	5
0	1	6	16
0	1	6	5
0	3,4	11	9
0	7	11	5
3	4	6	1
2	3	5	1
2	7	3	9
0	1	6	2
0	5	8	1
0	1	4	3
0	1	3	2
0	2	3	1
5	13	18	2
0	7	12
2	7	9	12
0	1	3,4	7,8
0	3	12	17
0	1	3	5
1	2	3	4
8	4	9	15
0	1	2	3
0	1	4	7
0	2	1	6
0	2	5	3
1	3	5	0
0	1	2	8
0	12	6	3
1,2	9	3	8
0	1	3	5
0	2,3	1	7
0	1	2	3
0	1	13	8
0	1	2	3
0	1	2	3
2	1	10	12
0	2	1	3
4	8	13	7
0	1	10	4
0	2	4	6,8
0	2	3	4
0	1	3	2
3	4	5	15
1	3	5	2
0	8	10	4
0	4	7	2
0	2	1	5,4
1	3	8	11
0	2	1	8
4	6	1	7	9
4	6	9	8
1	5	3	7
3	4	15
1	2	8	27
1	6	2	5
0	1	3	10
0	3	2	4
0	4	3
0	1	3	5
0	1	2	7
1	3	5	2
0	2	1	9
3	4	6	5
1	4	5	2
1	2	3	4
0	1	3	6
0	6	1	5
0	2	5	16
1	12	4	2
2	3	6	11
0	1	3	4
0	2	1	3
3	7	13	9
5	7	11	15
0	4	6	10
5	7	0	2
0	1	3	4
0	2	1	16
0	2	8	4
0	1	4	3
1	2,4	7	5
0	3	1	4
0	1	2	3
0	1	5	3
0	7	15	25
0	1	5	7
0	3	1	5
0	1	10	14
0	5	1	4
0	1	2	3
0	4	5	7
0	2	1	8
0	1	7	2	4
1	9	7	3
1	3	15	17
0	8	5	3	6
2	1	4	3
1	3	10	4
0	10,11	5	1
0	2	7	12
1	7	4	6
0	1	5	14
0	1	2	5	4
0	3	1	10
0	1	4,3	2
1	3	10,9	21
2	3	4	8
1	2	4,3
0	2	3	1
2	4	0	9	6
0	1	12	5
1,0	6	9	10
1	4	5	9
1	3	4	5
1,0	10	6	5
0	4	8	11
0	1	3	6
1	12	5	8
0,1	6	7	2
0	3,2	11	15
0	1	4	6
2	6	8	4
0	1	3	4
0	5	8	2
0	1	3	6
0	1	3	6
0	2	1	10
0	5	4	7
0	4	1	2
1	5	6	4
0	2	1	11
7	14	37	16
6	5	10	1
5	7	11	2
3	2	10	8
0	4	1	7
0	4	22	2
0	1	12	6
1	3	6	8
1	7	8	-1
0	4	5	9
0	1	4	2
0	1	9	8
